Location ID,Field Sample ID,Start Depth,End Depth,Parameter Name,Report Result,Report Units,Lab Qualifier,Validation Qualifier,Leached,Detected,Ground Elevation,Date Sampled,Sample Matrix,Filtered,Sample Purpose,Location Group Name
S4411,S4411A1,0,0.5,Lead,519000,ug/l,,,Y,Y,7.6,5/15/2014,SOIL,N,REG,Example Area
S4411,S4411A1,0,0.5,Arsenic,17.3,mg/kg,,,N,Y,7.6,5/15/2014,SOIL,N,REG,Example Area
S4411,S4411A4,1.5,2,Lead,67.9,mg/kg,,,N,Y,7.6,5/15/2014,SOIL,N,REG,Example Area
S4411,S4411T,,,Lead,65700,mg/kg,,,N,Y,7.6,9/10/2014,SOIL,N,REG,Example Area
S4411,S4411T,,,Lead,496000,ug/l,,,Y,Y,7.6,9/10/2014,SOIL,N,REG,Example Area
S4411,S4411TL,,,Lead,58200,mg/kg,,,N,Y,7.6,9/11/2014,SOIL,N,REG,Example Area
S4411,S4411TL,,,Lead,437000,ug/l,,,Y,Y,7.6,9/11/2014,SOIL,N,REG,Example Area
S4411,S4411TL2,,,Lead,167000,ug/l,,,Y,Y,7.6,9/11/2014,SOIL,N,REG,Example Area
S4411,S4411TL4,,,Lead,44100,ug/l,,,Y,Y,7.6,9/11/2014,SOIL,N,REG,Example Area
S4411,S4411TL6,,,Lead,32.3,ug/l,,,Y,Y,7.6,9/11/2014,SOIL,N,REG,Example Area
S4412,S4412C3,5,5.5,Tetraethyl-lead,0.22,mg/kg,U,R,N,N,9.9,5/16/2014,SOIL,N,REG,Example Area
S4412,S4412D1,6,6.5,Lead,699,mg/kg,,J,N,Y,9.9,5/16/2014,SOIL,N,REG,Example Area
S4412,S4412D1,6,6.5,Arsenic,4.54,mg/kg,,J,N,Y,9.9,5/16/2014,SOIL,N,REG,Example Area
S4412,S4412D4,7.5,8,Lead,802,mg/kg,,J,N,Y,9.9,5/16/2014,SOIL,N,REG,Example Area
S4412,S4412D4,7.5,8,Lead,9560,ug/l,,J,Y,Y,9.9,5/16/2014,SOIL,N,REG,Example Area
S4412,S4412D4,7.5,8,Arsenic,3.22,mg/kg,,J,N,Y,9.9,5/16/2014,SOIL,N,REG,Example Area
S4412,S4412R1B4,3.5,4,Lead,317,mg/kg,,J,N,Y,9.9,5/16/2014,SOIL,N,RE ,Example Area
S4412,S4412R1E2,8.5,9,Lead,72.7,mg/kg,,J,N,Y,9.9,5/16/2014,SOIL,N,RE,Example Area
S4413,S4413D1,6,6.5,Lead,1.44,mg/kg,J,J,N,Y,10.9,5/16/2014,SOIL,N,REG,Example Area
S4413,S4413D3,7,7.5,Lead,2530,mg/kg,,J,N,Y,10.9,5/16/2014,SOIL,N,REG,Example Area
S4413,S4413D3,7,7.5,Lead,1030,ug/l,,J,Y,Y,10.9,5/16/2014,SOIL,N,REG,Example Area
S4413,S4413D3,7,7.5,Tetraethyl-lead,0.094,mg/kg,U,R,N,N,10.9,5/16/2014,SOIL,N,REG,Example Area
S4413,S4413E1,8,8.5,Lead,22.1,mg/kg,,J,N,Y,10.9,5/16/2014,SOIL,N,REG,Example Area
S4413,S4413E1,8,8.5,Tetraethyl-lead,0.043,mg/kg,U,U,N,N,10.9,5/16/2014,SOIL,N,REG,Example Area
S4414,S4414R1C3,5,5.5,Lead,83.3,mg/kg,,,N,Y,12,5/19/2014,SOIL,N,RE,Example Area
S4414,S4414R1D2,6.5,7,Lead,955,mg/kg,,,N,Y,12,5/19/2014,SOIL,N,RE,Example Area
S4414,S4414R1D2,6.5,7,Lead,3650,ug/l,,,Y,Y,12,5/19/2014,SOIL,N,RE,Example Area
S4414,S4414R1D2,6.5,7,Arsenic,78.8,mg/kg,,,N,Y,12,5/19/2014,SOIL,N,RE,Example Area
S4414,S4414R1E1,8,8.5,Lead,55.1,mg/kg,,,N,Y,12,5/19/2014,SOIL,N,RE,Example Area
S4455,S4455B2,2.5,3,Lead,48.5,mg/kg,,,N,Y,8.6,7/3/2014,SOIL,N,REG,Example Area
S4455,S4455D1,6,6.5,Lead,40.3,mg/kg,,,N,Y,8.6,7/3/2014,SOIL,N,REG,Example Area
S4455,S4455E2,8.5,9,Lead,11.3,mg/kg,,,N,Y,8.6,7/3/2014,SOIL,N,REG,Example Area
S4455,S4455R1B4,3.5,4,Lead,2100,mg/kg,,,N,Y,8.6,7/3/2014,SOIL,N,RE,Example Area
S4455,S4455R1B4,3.5,4,Lead,20000,ug/l,,,Y,Y,8.6,7/3/2014,SOIL,N,RE,Example Area
S4455,S4455R1B4,3.5,4,Arsenic,2.42,mg/kg,J,J,N,Y,8.6,7/3/2014,SOIL,N,RE,Example Area
S4455,S4455R1B4,3.5,4,Tetraethyl-lead,0.46,mg/kg,U,U,N,N,8.6,7/3/2014,SOIL,N,RE,Example Area
S4456,S4456B1,2,2.5,Lead,88.7,mg/kg,,,N,Y,12,7/3/2014,SOIL,N,REG,Example Area
S4456,S4456C3,5,5.5,Lead,29.9,mg/kg,,,N,Y,12,7/3/2014,SOIL,N,REG,Example Area
S4502,S4502C1,4,4.5,Lead,35.3,mg/kg,,,N,Y,11,7/29/2014,SOIL,N,REG,Example Area
S4502,S4502D1,6,6.5,Lead,261,mg/kg,,,N,Y,11,7/29/2014,SOIL,N,REG,Example Area
S4502,S4502D2,6.5,7,Lead,1300,mg/kg,,,N,Y,11,7/29/2014,SOIL,N,REG,Example Area
S4502,S4502D2,6.5,7,Lead,3650,ug/l,,,Y,Y,11,7/29/2014,SOIL,N,REG,Example Area
S4502,S4502D2,6.5,7,Arsenic,108,mg/kg,,,N,Y,11,7/29/2014,SOIL,N,REG,Example Area
S4502,S4502D4,7.5,8,Lead,43.2,mg/kg,,,N,Y,11,7/29/2014,SOIL,N,REG,Example Area
S4503,S4503D4,7.5,8,Lead,418,mg/kg,,,N,Y,10.5,7/29/2014,SOIL,N,REG,Example Area
S4503,S4503D4,7.5,8,Arsenic,23.6,mg/kg,,,N,Y,10.5,7/29/2014,SOIL,N,REG,Example Area
S4504,S4504R1C1,4,4.5,Lead,227,mg/kg,,,N,Y,11.3,7/29/2014,SOIL,N,RE,Example Area
S4504,S4504R1D1,6,6.5,Lead,322,mg/kg,,,N,Y,11.3,7/29/2014,SOIL,N,RE,Example Area
S4504,S4504R1D1,6,6.5,Arsenic,31.9,mg/kg,,,N,Y,11.3,7/29/2014,SOIL,N,RE,Example Area
S4505,S4505C1,4,4.5,Lead,18.7,mg/kg,,J,N,Y,11.6,7/30/2014,SOIL,N,REG,Example Area
S4505,D0730149,,,Lead,16.2,mg/kg,,,N,Y,11.6,7/30/2014,SOIL,N,FD,Example Area
S4505,S4505D2,6.5,7,Lead,575,mg/kg,,,N,Y,11.6,7/30/2014,SOIL,N,REG,Example Area
S4505,S4505D3,7,7.5,Lead,1050,mg/kg,,,N,Y,11.6,7/30/2014,SOIL,N,REG,Example Area
S4505,S4505D3,7,7.5,Lead,5160,ug/l,,,Y,Y,11.6,7/30/2014,SOIL,N,REG,Example Area
S4505,S4505D3,7,7.5,Arsenic,77.6,mg/kg,,,N,Y,11.6,7/30/2014,SOIL,N,REG,Example Area
S4505,S4505E2,8.5,9,Lead,59.4,mg/kg,,,N,Y,11.6,7/30/2014,SOIL,N,REG,Example Area
S4506,S4506A4,1.5,2,Lead,295,mg/kg,,,N,Y,12.6,7/30/2014,SOIL,N,REG,Example Area
S4506,S4506A4,1.5,2,Arsenic,32.9,mg/kg,,,N,Y,12.6,7/30/2014,SOIL,N,REG,Example Area
S4506,S4506D2,6.5,7,Lead,234,mg/kg,,,N,Y,12.6,7/30/2014,SOIL,N,REG,Example Area
S4507,S4507B1,2,2.5,Lead,48.4,mg/kg,,,N,Y,10.4,7/30/2014,SOIL,N,REG,Example Area
S4507,S4507R1B4,3.5,4,Lead,26.4,mg/kg,,,N,Y,10.4,7/30/2014,SOIL,N,RE,Example Area
S4518,S4518A1,0,0.5,Lead,389,mg/kg,,,N,Y,8.4,9/23/2014,SOIL,N,REG,Example Area
S4518,S4518A3,1,1.5,Lead,8.87,mg/kg,,,N,Y,8.4,9/23/2014,SOIL,N,REG,Example Area
S4518,D0923149,,,Lead,397,mg/kg,,,N,Y,8.4,9/23/2014,SOIL,N,FD,Example Area
S4519,S4519A2,0.5,1,Benzene,0.33,mg/kg,,,N,Y,6,9/26/2014,SOIL,N,REG,Example Area
S4519,S4519A2,0.5,1,Lead,28.4,mg/kg,,J,N,Y,6,9/26/2014,SOIL,N,REG,Example Area
S4519,S4519A2,0.5,1,Arsenic,35.9,mg/kg,,,N,Y,6,9/26/2014,SOIL,N,REG,Example Area
S4519,S4519A2,0.5,1,Tetraethyl-lead,0.41,mg/kg,U,U,N,N,6,9/26/2014,SOIL,N,REG,Example Area
S4519,S4519B1,2,2.5,Benzene,3,mg/kg,,,N,Y,6,9/26/2014,SOIL,N,REG,Example Area
S4519,S4519B1,2,2.5,Lead,13900,mg/kg,,,N,Y,6,9/26/2014,SOIL,N,REG,Example Area
S4519,S4519B1,2,2.5,Lead,127000,ug/l,,,Y,Y,6,9/26/2014,SOIL,N,REG,Example Area
S4519,S4519B1,2,2.5,Tetraethyl-lead,0.41,mg/kg,U,U,N,N,6,9/26/2014,SOIL,N,REG,Example Area
S4519,S4519B4,3.5,4,Benzene,0.58,mg/kg,,J,N,Y,6,9/26/2014,SOIL,N,REG,Example Area
S4519,S4519C1,4,4.5,Lead,330,mg/kg,,J,N,Y,6,9/26/2014,SOIL,N,REG,Example Area
S4519,S4519C1,4,4.5,Tetraethyl-lead,0.92,mg/kg,U,U,N,N,6,9/26/2014,SOIL,N,REG,Example Area
S4520,S4520A2,0.5,1,Lead,482,mg/kg,,,N,Y,7.2,9/26/2014,SOIL,N,REG,Example Area
S4520,S4520A2,0.5,1,Tetraethyl-lead,0.36,mg/kg,U,U,N,N,7.2,9/26/2014,SOIL,N,REG,Example Area
S4520,S4520A3,1,1.5,Benzene,0.37,mg/kg,,J,N,Y,7.2,9/26/2014,SOIL,N,REG,Example Area
S4520,S4520A4,1.5,2,Lead,649,mg/kg,,,N,Y,7.2,9/26/2014,SOIL,N,REG,Example Area
S4520,S4520A4,1.5,2,Arsenic,3.31,mg/kg,,,N,Y,7.2,9/26/2014,SOIL,N,REG,Example Area
S4520,S4520A4,1.5,2,Tetraethyl-lead,0.4,mg/kg,U,U,N,N,7.2,9/26/2014,SOIL,N,REG,Example Area
S4520,S4520B1,2,2.5,Benzene,1.4,mg/kg,,,N,Y,7.2,9/26/2014,SOIL,N,REG,Example Area
S4520,S4520B4,3.5,4,Benzene,0.69,mg/kg,,J,N,Y,7.2,9/26/2014,SOIL,N,REG,Example Area
S4520,S4520B4,3.5,4,Lead,35.4,mg/kg,,J,N,Y,7.2,9/26/2014,SOIL,N,REG,Example Area
S4520,S4520B4,3.5,4,Arsenic,3.05,mg/kg,,,N,Y,7.2,9/26/2014,SOIL,N,REG,Example Area
S4520,S4520B4,3.5,4,Tetraethyl-lead,0.41,mg/kg,U,U,N,N,7.2,9/26/2014,SOIL,N,REG,Example Area
S4520,S4520C2,4.5,5,Lead,149,mg/kg,,J,N,Y,7.2,9/26/2014,SOIL,N,REG,Example Area
S4534,S4534A2,0.5,1,Benzene,0.046,mg/kg,J,J,N,Y,6.8,10/7/2014,SOIL,N,REG,Example Area
S4534,S4534A3,1,1.5,Benzene,1.5,mg/kg,,J+,N,Y,6.8,10/7/2014,SOIL,N,REG,Example Area
S4534,S4534A3,1,1.5,Lead,1950,mg/kg,,,N,Y,6.8,10/7/2014,SOIL,N,REG,Example Area
S4534,S4534A3,1,1.5,Lead,6420,ug/l,,,Y,Y,6.8,10/7/2014,SOIL,N,REG,Example Area
S4534,S4534R1B3,3,3.5,Lead,712,mg/kg,,,N,Y,6.8,10/7/2014,SOIL,N,RE,Example Area
S4534,S4534R1C1,4,4.5,Benzene,3.5,mg/kg,,J,N,Y,6.8,10/7/2014,SOIL,N,RE,Example Area
S4534,S4534R1C1,4,4.5,Lead,15.4,mg/kg,,,N,Y,6.8,10/7/2014,SOIL,N,RE,Example Area
S4759,S4759A3,1,1.5,Tetraethyl-lead,0.23,mg/kg,U,U,N,N,7.2,5/14/2015,SOIL,N,REG,Example Area
S4759,S4759D3,7,7.5,Tetraethyl-lead,0.096,mg/kg,U,U,N,N,7.2,5/14/2015,SOIL,N,REG,Example Area
S4759,S4759E2,8.5,9,Tetraethyl-lead,0.039,mg/kg,U,U,N,N,7.2,5/14/2015,SOIL,N,REG,Example Area
S4760,S4760A3,1,1.5,Tetraethyl-lead,0.2,mg/kg,U,U,N,N,7,5/14/2015,SOIL,N,REG,Example Area
S4760,S4760C4,5.5,6,Tetraethyl-lead,0.067,mg/kg,U,U,N,N,7,5/14/2015,SOIL,N,REG,Example Area
S4760,S4760D4,7.5,8,Tetraethyl-lead,0.04,mg/kg,U,U,N,N,7,5/14/2015,SOIL,N,REG,Example Area
S4761,S4761A4,1.5,2,Tetraethyl-lead,0.04,mg/kg,U,U,N,N,7.2,5/14/2015,SOIL,N,REG,Example Area
S4761,S4761D1,6,6.5,Tetraethyl-lead,0.75,mg/kg,U,UJ,N,N,7.2,5/14/2015,SOIL,N,REG,Example Area
S4761,S4761D4,7.5,8,Tetraethyl-lead,0.039,mg/kg,U,U,N,N,7.2,5/14/2015,SOIL,N,REG,Example Area
S4786,S4786A4,1.5,2,Tetraethyl-lead,0.037,mg/kg,U,U,N,N,7.7,5/14/2015,SOIL,N,REG,Example Area
S4786,S4786D4,7.5,8,Tetraethyl-lead,0.13,mg/kg,U,UJ,N,N,7.7,5/14/2015,SOIL,N,REG,Example Area
SB-0040,SB-0040S-B,2,4,Benzo(a)Pyrene,9.3,mg/kg,U,,N,N,5.6,10/16/1995,SOIL,N,REG,Example Area
SB-0040,SB-0040S-B,2,4,Benzene,3.4,mg/kg,,,N,Y,5.6,10/16/1995,SOIL,N,REG,Example Area
SB-0040,SB-0040S-B,2,4,Lead,3030,mg/kg,,,N,Y,5.6,10/16/1995,SOIL,N,REG,Example Area
SB-0040,SB-0040S-B,2,4,Arsenic,7.6,mg/kg,,,N,Y,5.6,10/16/1995,SOIL,N,REG,Example Area
SB-0040,SB-0040S-B,2,4,Tetraethyl-lead,6.26,mg/kg,,,N,Y,5.6,10/16/1995,SOIL,N,REG,Example Area
