,S0776,S0791,S0792,S0793,S0794,S1006,S1007,S1008,S2140,S2141,S2142,S2143,S2144,S2145,S2180,S2210,S2212,S2221,S2222,S2223,S2436,S2437,S2440,S2441,S2445,S2447,S2449,S2450,S2552,S2553,S2554,S2555,S2556,S2557,S2603,S2604,S2605,S2661,S2662,S2663,S2664,S2665,S2666,S2667,S2668,S2669,S2670,S2671,S2672,S2673,S2729,S2827,S2828,S2905,S2980,S2981,S2982,S2987,S2988,S2989,S2990,S2991,S2992,S2993,S2994,S2995,S2996,S2997,S2998,S4408,S4409,S4410,S4411,S4412,S4413,S4414,S4455,S4456,S4502,S4503,S4504,S4505,S4506,S4507,S4518,S4519,S4520,S4534,SB-0040
-1.5 to -2.0,,,,,,,,,,,322 ,,,,,,,,,,368 ,38.9 ,,,,,,15.8 ,,,,,,,,,,8.84 ,,,,,,,,,,15.5 ,,,41.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.0 to -2.5,,,,,,,,,,,322 ,,,,,,,51.9 ,,27.9 ,,12.8 ,,,,,18.5 ,15.8 ,,,,,,,,,,,,10.3 ,,,,,,,,,,,41.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.5 to -3.0,,,,,,,,,,,,,,,,,,51.9 ,,27.9 ,,12.8 ,,,,,18.5 ,,,,,,,,,,4.53 ,,,10.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.0 to -3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.5 to -4.0,,,,,,,,,,,,,,,,,,,9.49 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.0 to -4.5,,,,,,,,,,,,,,,,,,,9.49 ,,,7.29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.5 to -5.0,,3.23 ,,,,,,,,,,,,,,,,,,,,7.29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.0 to -5.5,,3.23 ,,,64.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.5 to -6.0,,,,,64.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.0 to -6.5,,,,14.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.5 to -7.0,,,,14.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.0 to -7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.5 to -8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.0 to -8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.5 to -9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.0 to -9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9.5 to -10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.0 to -10.5,,,,,,,,,31.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,31.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
